GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SpringWebApp,org.development.webapp.Controller,LoginController,67,7,12,0,16,2,14,2,8,2
SpringWebApp,org.development.webapp.model,LoginBean,17,0,0,0,7,0,5,0,5,0
